replicate	time	treatment	wak	cho	tre	fle	bas	leo	ber	her
rep7	0	7.5.C	0.096045198	0.22962963	0.133079848	0.177177177	0.139784946	0.083333333	0.085714286	0.168350168
rep8	0	7.5.C	0.100795756	0.182389937	0.132	0.14516129	0.163424125	0.125523013	0.109467456	0.10230179
rep9	0	7.5.C	0.145772595	0.208480565	0.121568627	0.080985915	0.178723404	0.094707521	0.060790274	0.113043478
rep10	0	7.5.C	0.099415205	0.151335312	0.089700997	0.226480836	0.105485232	0.11898017	0.108695652	0.122507123
rep1	0	10.C	0.107049608	0.211838006	0.081395349	0.134328358	0.150470219	0.107648725	0.058047493	0.06360424
rep2	0	10.C	0.132716049	0.142361111	0.093567251	0.151515152	0.130841121	0.122754491	0.119113573	0.11409396
rep3	0	10.C	0.105113636	0.225806452	0.133550489	0.161971831	0.149206349	0.168246445	0.10178117	0.138743455
rep4	0	10.C	0.093670886	0.191780822	0.147410359	0.190322581	0.135951662	0.068376068	0.153594771	0.149253731
rep5	0	10.C	0.067340067	0.190600522	0.112068966	0.21656051	0.161812298	0.132307692	0.131498471	0.113573407
rep6	0	10.C	0.098039216	0.171597633	0.094674556	0.179487179	0.152777778	0.153409091	0.112044818	0.099415205
rep7	0	10.C	0.096045198	0.22962963	0.133079848	0.177177177	0.139784946	0.083333333	0.085714286	0.168350168
rep8	0	10.C	0.100795756	0.182389937	0.132	0.14516129	0.163424125	0.125523013	0.109467456	0.10230179
rep9	0	10.C	0.145772595	0.208480565	0.121568627	0.080985915	0.178723404	0.094707521	0.060790274	0.113043478
rep10	0	10.C	0.099415205	0.151335312	0.089700997	0.226480836	0.105485232	0.11898017	0.108695652	0.122507123
rep1	0	dark	0.107049608	0.211838006	0.081395349	0.134328358	0.150470219	0.107648725	0.058047493	0.06360424
rep2	0	dark	0.132716049	0.142361111	0.093567251	0.151515152	0.130841121	0.122754491	0.119113573	0.11409396
rep3	0	dark	0.105113636	0.225806452	0.133550489	0.161971831	0.149206349	0.168246445	0.10178117	0.138743455
rep4	0	dark	0.093670886	0.191780822	0.147410359	0.190322581	0.135951662	0.068376068	0.153594771	0.149253731
rep5	0	dark	0.067340067	0.190600522	0.112068966	0.21656051	0.161812298	0.132307692	0.131498471	0.113573407
rep6	0	dark	0.098039216	0.171597633	0.094674556	0.179487179	0.152777778	0.153409091	0.112044818	0.099415205
rep7	0	dark	0.096045198	0.22962963	0.133079848	0.177177177	0.139784946	0.083333333	0.085714286	0.168350168
rep8	0	dark	0.100795756	0.182389937	0.132	0.14516129	0.163424125	0.125523013	0.109467456	0.10230179
rep9	0	dark	0.145772595	0.208480565	0.121568627	0.080985915	0.178723404	0.094707521	0.060790274	0.113043478
rep10	0	dark	0.099415205	0.151335312	0.089700997	0.226480836	0.105485232	0.11898017	0.108695652	0.122507123
rep1	14	-2.5.C	0.108262108	0.245398773	0.107407407	0.116504854	0.102941176	0.101639344	0.108910891	0.101190476
rep2	14	-2.5.C	0.103703704	0.147492625	0.102189781	0.087108014	0.1	0.083932854	0.106666667	0.124137931
rep3	14	-2.5.C	0.140718563	0.24137931	0.190647482	0.111111111	0.068965517	0.103092784	0.092651757	0.111455108
rep4	14	-2.5.C	0.087671233	0.178947368	0.142857143	0.106109325	0.10031348	0.103975535	0.141509434	0.146341463
rep5	14	-2.5.C	0.088541667	0.152061856	0.117870722	0.113456464	0.115131579	0.080906149	0.107329843	0.133903134
rep6	14	-2.5.C	0.117824773	0.246478873	0.112211221	0.132947977	0.084210526	0.071216617	0.076246334	0.120915033
rep7	14	-2.5.C	0.115902965	0.225454545	0.176870748	0.132653061	0.071729958	0.072607261	0.101538462	0.121661721
rep8	14	-2.5.C	0.078864353	0.231034483	0.12890625	0.121621622	0.095238095	0.099264706	0.078804348	0.073846154
rep9	14	-2.5.C	0.075117371	0.138418079	0.130801688	0.118181818	0.138790036	0.096666667	0.13559322	0.137142857
rep10	14	-2.5.C	0.139037433	0.2	0.146853147	0.131410256	0.09178744	0.106761566	0.093939394	0.119122257
rep1	14	0.C	0.152737752	0.220216606	0.194805195	0.134375	0.104417671	0.101973684	0.231454006	0.139465875
rep2	14	0.C	0.116991643	0.205776173	0.177966102	0.119850187	0.07641196	0.096885813	0.241982507	0.125
rep3	14	0.C	0.100543478	0.241610738	0.164912281	0.145669291	0.136986301	0.092651757	0.23100304	0.125
rep4	14	0.C	0.109510086	0.20754717	0.188284519	0.112727273	0.1	0.089347079	0.182254197	0.086705202
rep5	14	0.C	0.138339921	0.278846154	0.156146179	0.108033241	0.070769231	0.104859335	0.217948718	0.089473684
rep6	14	0.C	0.100278552	0.229007634	0.154285714	0.102719033	0.094202899	0.126182965	0.245454545	0.118918919
rep7	14	0.C	0.109243697	0.223529412	0.12543554	0.054597701	0.101083032	0.097791798	0.265356265	0.120845921
rep8	14	0.C	0.148044693	0.170124481	0.143426295	0.104575163	0.096525097	0.133501259	0.224137931	0.166666667
rep9	14	0.C	0.1171875	0.171314741	0.143410853	0.100478469	0.090196078	0.181818182	0.276785714	0.159217877
rep10	14	0.C	0.114624506	0.2375	0.150735294	0.087463557	0.090604027	0.135977337	0.213333333	0.144781145
rep1	14	2.5.C	0.176300578	0.208494208	0.196491228	0.07977208	0.111913357	0.092063492	0.130952381	0.103542234
rep2	14	2.5.C	0.148788927	0.287272727	0.122033898	0.158576052	0.101587302	0.088691796	0.143678161	0.158602151
rep3	14	2.5.C	0.087613293	0.359375	0.165991903	0.118110236	0.142414861	0.117302053	0.15	0.12605042
rep4	14	2.5.C	0.158854167	0.316109422	0.199170124	0.145748988	0.147651007	0.154302671	0.134328358	0.120786517
rep5	14	2.5.C	0.138084633	0.256637168	0.168627451	0.10989011	0.081632653	0.132930514	0.133757962	0.152631579
rep6	14	2.5.C	0.144542773	0.314754098	0.196969697	0.090625	0.099706745	0.153846154	0.119873817	0.168975069
rep7	14	2.5.C	0.111455108	0.313131313	0.177033493	0.142857143	0.107142857	0.105769231	0.13091922	0.145631068
rep8	14	2.5.C	0.168789809	0.364912281	0.203278689	0.204545455	0.110619469	0.2	0.126582278	0.131233596
rep9	14	2.5.C	0.135638298	0.262068966	0.168888889	0.12012012	0.117647059	0.16	0.158038147	0.162464986
rep10	14	2.5.C	0.096096096	0.266666667	0.203791469	0.161375661	0.110192837	0.126623377	0.105555556	0.13960114
rep1	14	5.C	0.128133705	0.321138211	0.153488372	0.15210356	0.111111111	0.164133739	0.108262108	0.148825065
rep2	14	5.C	0.0997151	0.221498371	0.1640625	0.132183908	0.097315436	0.069767442	0.152173913	0.147590361
rep3	14	5.C	0.11965812	0.384615385	0.215686275	0.108108108	0.100323625	0.105421687	0.145896657	0.142857143
rep4	14	5.C	0.176678445	0.321568627	0.164222874	0.124087591	0.125560538	0.166134185	0.120689655	0.146981627
rep5	14	5.C	0.136807818	0.381294964	0.23245614	0.128865979	0.144329897	0.152542373	0.106100796	0.198606272
rep6	14	5.C	0.137755102	0.366863905	0.250909091	0.143369176	0.142857143	0.154340836	0.102484472	0.185595568
rep7	14	5.C	0.105263158	0.268722467	0.205128205	0.131661442	0.118881119	0.128027682	0.111111111	0.182795699
rep8	14	5.C	0.088957055	0.263157895	0.208163265	0.101851852	0.174242424	0.107784431	0.099730458	0.154639175
rep9	14	5.C	0.087378641	0.204610951	0.126666667	0.145896657	0.158102767	0.109467456	0.162601626	0.140983607
rep10	14	5.C	0.085164835	0.253676471	0.210762332	0.146258503	0.118466899	0.093373494	0.10619469	0.101156069
