rep	time	treatment	embryo	endosperm	ratio
rep1	140	dark	3.68	4.03	0.91
rep2	140	dark	NA	NA	1.00
rep3	140	dark	NA	NA	1.00
rep4	140	dark	NA	NA	1.00
rep5	140	dark	NA	NA	1.00
rep6	140	dark	NA	NA	1.00
rep7	140	dark	NA	NA	1.00
rep8	140	dark	NA	NA	1.00
rep9	140	dark	NA	NA	1.00
rep10	140	dark	NA	NA	1.00
rep1	161	m-2.5C	0.63	3.12	0.20
rep2	161	m-2.5C	0.51	2.72	0.19
rep3	161	m-2.5C	0.42	2.90	0.14
rep4	161	m-2.5C	0.50	3.75	0.13
rep5	161	m-2.5C	0.56	3.96	0.14
rep6	161	m-2.5C	0.76	3.65	0.21
rep7	161	m-2.5C	1.41	3.86	0.37
rep8	161	m-2.5C	0.69	3.55	0.19
rep9	161	m-2.5C	0.36	3.49	0.10
rep10	161	m-2.5C	0.40	2.89	0.14
rep1	161	0C	0.75	3.80	0.20
rep2	161	0C	0.50	3.17	0.16
rep3	161	0C	NA	NA	1.00
rep4	161	0C	NA	NA	1.00
rep5	161	0C	NA	NA	1.00
rep6	161	0C	NA	NA	1.00
rep7	161	0C	NA	NA	1.00
rep8	161	0C	NA	NA	1.00
rep9	161	0C	NA	NA	1.00
rep10	161	0C	NA	NA	1.00
rep1	161	2.5C	NA	NA	1.00
rep2	161	2.5C	NA	NA	1.00
rep3	161	2.5C	NA	NA	1.00
rep4	161	2.5C	NA	NA	1.00
rep5	161	2.5C	NA	NA	1.00
rep6	161	2.5C	NA	NA	1.00
rep7	161	2.5C	NA	NA	1.00
rep8	161	2.5C	NA	NA	1.00
rep9	161	2.5C	NA	NA	1.00
rep10	161	2.5C	NA	NA	1.00
rep1	161	5C	NA	NA	1.00
rep2	161	5C	NA	NA	1.00
rep3	161	5C	NA	NA	1.00
rep4	161	5C	NA	NA	1.00
rep5	161	5C	NA	NA	1.00
rep6	161	5C	NA	NA	1.00
rep7	161	5C	NA	NA	1.00
rep8	161	5C	NA	NA	1.00
rep9	161	5C	NA	NA	1.00
rep10	161	5C	NA	NA	1.00
rep1	161	7.5C	2.02	3.02	0.67
rep2	161	7.5C	3.87	4.10	0.94
rep3	161	7.5C	2.38	2.81	0.85
rep4	161	7.5C	3.09	3.51	0.88
rep5	161	7.5C	2.29	3.49	0.66
rep6	161	7.5C	3.34	3.89	0.86
rep7	161	7.5C	NA	NA	1.00
rep8	161	7.5C	NA	NA	1.00
rep9	161	7.5C	NA	NA	1.00
rep10	161	7.5C	NA	NA	1.00
rep1	161	10C	0.80	3.36	0.24
rep2	161	10C	1.83	3.03	0.60
rep3	161	10C	1.72	3.76	0.46
rep4	161	10C	1.22	3.24	0.38
rep5	161	10C	1.28	3.48	0.37
rep6	161	10C	1.88	3.39	0.55
rep7	161	10C	1.89	3.85	0.49
rep8	161	10C	1.02	4.01	0.25
rep9	161	10C	1.32	3.64	0.36
rep10	161	10C	1.50	3.45	0.43
rep1	161	dark	2.60	3.20	0.81
rep2	161	dark	NA	NA	1.00
rep3	161	dark	NA	NA	1.00
rep4	161	dark	NA	NA	1.00
rep5	161	dark	NA	NA	1.00
rep6	161	dark	NA	NA	1.00
rep7	161	dark	NA	NA	1.00
rep8	161	dark	NA	NA	1.00
rep9	161	dark	NA	NA	1.00
rep10	161	dark	NA	NA	1.00
rep1	168	m-2.5C	0.49	4.38	0.11
rep2	168	m-2.5C	0.44	3.24	0.14
rep3	168	m-2.5C	0.49	3.50	0.14
rep4	168	m-2.5C	0.44	3.86	0.11
rep5	168	m-2.5C	0.53	3.79	0.14
rep6	168	m-2.5C	0.44	3.67	0.12
rep7	168	m-2.5C	0.42	3.40	0.12
rep8	168	m-2.5C	0.25	3.74	0.07
rep9	168	m-2.5C	0.31	2.80	0.11
rep10	168	m-2.5C	0.45	3.05	0.15
rep1	168	0C	0.73	3.07	0.24
rep2	168	0C	0.61	3.52	0.17
rep3	168	0C	NA	NA	1.00
rep4	168	0C	NA	NA	1.00
rep5	168	0C	NA	NA	1.00
rep6	168	0C	NA	NA	1.00
rep7	168	0C	NA	NA	1.00
rep8	168	0C	NA	NA	1.00
rep9	168	0C	NA	NA	1.00
rep10	168	0C	NA	NA	1.00
rep1	168	2.5C	NA	NA	1.00
rep2	168	2.5C	NA	NA	1.00
rep3	168	2.5C	NA	NA	1.00
rep4	168	2.5C	NA	NA	1.00
rep5	168	2.5C	NA	NA	1.00
rep6	168	2.5C	NA	NA	1.00
rep7	168	2.5C	NA	NA	1.00
rep8	168	2.5C	NA	NA	1.00
rep9	168	2.5C	NA	NA	1.00
rep10	168	2.5C	NA	NA	1.00
rep1	168	5C	NA	NA	1.00
rep2	168	5C	NA	NA	1.00
rep3	168	5C	NA	NA	1.00
rep4	168	5C	NA	NA	1.00
rep5	168	5C	NA	NA	1.00
rep6	168	5C	NA	NA	1.00
rep7	168	5C	NA	NA	1.00
rep8	168	5C	NA	NA	1.00
rep9	168	5C	NA	NA	1.00
rep10	168	5C	NA	NA	1.00
rep1	168	7.5C	2.68	3.44	0.78
rep2	168	7.5C	NA	NA	1.00
rep3	168	7.5C	NA	NA	1.00
rep4	168	7.5C	NA	NA	1.00
rep5	168	7.5C	NA	NA	1.00
rep6	168	7.5C	NA	NA	1.00
rep7	168	7.5C	NA	NA	1.00
rep8	168	7.5C	NA	NA	1.00
rep9	168	7.5C	NA	NA	1.00
rep10	168	7.5C	NA	NA	1.00
rep1	168	10C	2.60	4.00	0.65
rep2	168	10C	1.97	2.98	0.66
rep3	168	10C	1.02	3.00	0.34
rep4	168	10C	2.04	2.92	0.70
rep5	168	10C	1.12	3.41	0.33
rep6	168	10C	2.13	3.74	0.57
rep7	168	10C	0.91	3.23	0.28
rep8	168	10C	1.08	3.14	0.34
rep9	168	10C	1.33	3.83	0.35
rep10	168	10C	2.71	3.29	0.82
rep1	168	dark	NA	NA	1.00
rep2	168	dark	NA	NA	1.00
rep3	168	dark	NA	NA	1.00
rep4	168	dark	NA	NA	1.00
rep5	168	dark	NA	NA	1.00
rep6	168	dark	NA	NA	1.00
rep7	168	dark	NA	NA	1.00
rep8	168	dark	NA	NA	1.00
rep9	168	dark	NA	NA	1.00
rep10	168	dark	NA	NA	1.00
rep1	182	m-2.5C	0.34	2.70	0.13
rep2	182	m-2.5C	0.27	2.55	0.11
rep3	182	m-2.5C	0.31	2.53	0.12
rep4	182	m-2.5C	0.31	2.33	0.13
rep5	182	m-2.5C	0.47	1.98	0.24
rep6	182	m-2.5C	0.42	2.99	0.14
rep7	182	m-2.5C	0.41	2.25	0.18
rep8	182	m-2.5C	0.35	2.78	0.13
rep9	182	m-2.5C	0.30	2.52	0.12
rep10	182	m-2.5C	0.38	2.28	0.17
rep1	182	0C	0.57	2.50	0.23
rep2	182	0C	NA	NA	1.00
rep3	182	0C	NA	NA	1.00
rep4	182	0C	NA	NA	1.00
rep5	182	0C	NA	NA	1.00
rep6	182	0C	NA	NA	1.00
rep7	182	0C	NA	NA	1.00
rep8	182	0C	NA	NA	1.00
rep9	182	0C	NA	NA	1.00
rep10	182	0C	NA	NA	1.00
rep1	182	2.5C	NA	NA	1.00
rep2	182	2.5C	NA	NA	1.00
rep3	182	2.5C	NA	NA	1.00
rep4	182	2.5C	NA	NA	1.00
rep5	182	2.5C	NA	NA	1.00
rep6	182	2.5C	NA	NA	1.00
rep7	182	2.5C	NA	NA	1.00
rep8	182	2.5C	NA	NA	1.00
rep9	182	2.5C	NA	NA	1.00
rep10	182	2.5C	NA	NA	1.00
rep1	182	5C	NA	NA	1.00
rep2	182	5C	NA	NA	1.00
rep3	182	5C	NA	NA	1.00
rep4	182	5C	NA	NA	1.00
rep5	182	5C	NA	NA	1.00
rep6	182	5C	NA	NA	1.00
rep7	182	5C	NA	NA	1.00
rep8	182	5C	NA	NA	1.00
rep9	182	5C	NA	NA	1.00
rep10	182	5C	NA	NA	1.00
rep1	182	7.5C	2.29	2.95	0.78
rep2	182	7.5C	2.07	2.55	0.81
rep3	182	7.5C	1.89	2.94	0.64
rep4	182	7.5C	2.91	3.12	0.93
rep5	182	7.5C	NA	NA	1.00
rep6	182	7.5C	NA	NA	1.00
rep7	182	7.5C	NA	NA	1.00
rep8	182	7.5C	NA	NA	1.00
rep9	182	7.5C	NA	NA	1.00
rep10	182	7.5C	NA	NA	1.00
rep1	182	10C	0.61	2.84	0.21
rep2	182	10C	1.80	2.66	0.68
rep3	182	10C	1.19	2.65	0.45
rep4	182	10C	1.59	3.45	0.46
rep5	182	10C	1.75	2.37	0.74
rep6	182	10C	1.30	2.61	0.50
rep7	182	10C	1.13	2.79	0.41
rep8	182	10C	1.41	2.52	0.56
rep9	182	10C	1.34	2.67	0.50
rep10	182	10C	1.72	2.69	0.64
rep1	182	dark	NA	NA	1.00
rep2	182	dark	NA	NA	1.00
rep3	182	dark	NA	NA	1.00
rep4	182	dark	NA	NA	1.00
rep5	182	dark	NA	NA	1.00
rep6	182	dark	NA	NA	1.00
rep7	182	dark	NA	NA	1.00
rep8	182	dark	NA	NA	1.00
rep9	182	dark	NA	NA	1.00
rep10	182	dark	NA	NA	1.00
rep1	196	m-2.5C	0.27	2.62	0.10
rep2	196	m-2.5C	0.44	3.81	0.12
rep3	196	m-2.5C	0.48	3.32	0.14
rep4	196	m-2.5C	0.36	3.61	0.10
rep5	196	m-2.5C	0.51	3.27	0.16
rep6	196	m-2.5C	0.60	3.38	0.18
rep7	196	m-2.5C	0.39	3.20	0.12
rep8	196	m-2.5C	0.53	3.64	0.15
rep9	196	m-2.5C	0.42	3.49	0.12
rep10	196	m-2.5C	0.79	3.32	0.24
rep1	196	0C	0.58	3.33	0.17
rep2	196	0C	0.76	3.27	0.23
rep3	196	0C	NA	NA	1.00
rep4	196	0C	NA	NA	1.00
rep5	196	0C	NA	NA	1.00
rep6	196	0C	NA	NA	1.00
rep7	196	0C	NA	NA	1.00
rep8	196	0C	NA	NA	1.00
rep9	196	0C	NA	NA	1.00
rep10	196	0C	NA	NA	1.00
rep1	196	2.5C	NA	NA	1.00
rep2	196	2.5C	NA	NA	1.00
rep3	196	2.5C	NA	NA	1.00
rep4	196	2.5C	NA	NA	1.00
rep5	196	2.5C	NA	NA	1.00
rep6	196	2.5C	NA	NA	1.00
rep7	196	2.5C	NA	NA	1.00
rep8	196	2.5C	NA	NA	1.00
rep9	196	2.5C	NA	NA	1.00
rep10	196	2.5C	NA	NA	1.00
rep1	196	5C	NA	NA	1.00
rep2	196	5C	NA	NA	1.00
rep3	196	5C	NA	NA	1.00
rep4	196	5C	NA	NA	1.00
rep5	196	5C	NA	NA	1.00
rep6	196	5C	NA	NA	1.00
rep7	196	5C	NA	NA	1.00
rep8	196	5C	NA	NA	1.00
rep9	196	5C	NA	NA	1.00
rep10	196	5C	NA	NA	1.00
rep1	196	7.5C	0.41	3.49	0.12
rep2	196	7.5C	NA	NA	1.00
rep3	196	7.5C	NA	NA	1.00
rep4	196	7.5C	NA	NA	1.00
rep5	196	7.5C	NA	NA	1.00
rep6	196	7.5C	NA	NA	1.00
rep7	196	7.5C	NA	NA	1.00
rep8	196	7.5C	NA	NA	1.00
rep9	196	7.5C	NA	NA	1.00
rep10	196	7.5C	NA	NA	1.00
rep1	196	10C	1.69	2.96	0.57
rep2	196	10C	1.43	3.51	0.41
rep3	196	10C	1.89	2.77	0.68
rep4	196	10C	0.92	2.98	0.31
rep5	196	10C	1.57	3.62	0.43
rep6	196	10C	1.35	3.42	0.39
rep7	196	10C	0.96	3.92	0.24
rep8	196	10C	1.31	3.31	0.40
rep9	196	10C	2.42	3.64	0.66
rep10	196	10C	0.86	3.26	0.26
rep1	196	dark	NA	NA	1.00
rep2	196	dark	NA	NA	1.00
rep3	196	dark	NA	NA	1.00
rep4	196	dark	NA	NA	1.00
rep5	196	dark	NA	NA	1.00
rep6	196	dark	NA	NA	1.00
rep7	196	dark	NA	NA	1.00
rep8	196	dark	NA	NA	1.00
rep9	196	dark	NA	NA	1.00
rep10	196	dark	NA	NA	1.00
rep1	210	m-2.5C	0.48	3.51	0.14
rep2	210	m-2.5C	0.41	3.25	0.13
rep3	210	m-2.5C	0.49	3.43	0.14
rep4	210	m-2.5C	1.53	3.17	0.48
rep5	210	m-2.5C	1.05	3.81	0.28
rep6	210	m-2.5C	0.65	3.44	0.19
rep7	210	m-2.5C	0.44	3.43	0.13
rep8	210	m-2.5C	0.54	3.38	0.16
rep9	210	m-2.5C	1.61	3.56	0.45
rep10	210	m-2.5C	0.91	3.17	0.29
rep1	210	0C	0.62	3.17	0.20
rep2	210	0C	NA	NA	1.00
rep3	210	0C	NA	NA	1.00
rep4	210	0C	NA	NA	1.00
rep5	210	0C	NA	NA	1.00
rep6	210	0C	NA	NA	1.00
rep7	210	0C	NA	NA	1.00
rep8	210	0C	NA	NA	1.00
rep9	210	0C	NA	NA	1.00
rep10	210	0C	NA	NA	1.00
rep1	210	2.5C	NA	NA	1.00
rep2	210	2.5C	NA	NA	1.00
rep3	210	2.5C	NA	NA	1.00
rep4	210	2.5C	NA	NA	1.00
rep5	210	2.5C	NA	NA	1.00
rep6	210	2.5C	NA	NA	1.00
rep7	210	2.5C	NA	NA	1.00
rep8	210	2.5C	NA	NA	1.00
rep9	210	2.5C	NA	NA	1.00
rep10	210	2.5C	NA	NA	1.00
rep1	210	5C	NA	NA	1.00
rep2	210	5C	NA	NA	1.00
rep3	210	5C	NA	NA	1.00
rep4	210	5C	NA	NA	1.00
rep5	210	5C	NA	NA	1.00
rep6	210	5C	NA	NA	1.00
rep7	210	5C	NA	NA	1.00
rep8	210	5C	NA	NA	1.00
rep9	210	5C	NA	NA	1.00
rep10	210	5C	NA	NA	1.00
rep1	210	7.5C	NA	NA	1.00
rep2	210	7.5C	2.24	3.02	0.74
rep3	210	7.5C	2.31	3.74	0.62
rep4	210	7.5C	1.99	3.19	0.62
rep5	210	7.5C	NA	NA	1.00
rep6	210	7.5C	NA	NA	1.00
rep7	210	7.5C	NA	NA	1.00
rep8	210	7.5C	NA	NA	1.00
rep9	210	7.5C	NA	NA	1.00
rep10	210	7.5C	NA	NA	1.00
rep1	210	10C	0.94	3.26	0.29
rep2	210	10C	1.81	2.80	0.65
rep3	210	10C	2.32	4.30	0.54
rep4	210	10C	0.94	3.05	0.31
rep5	210	10C	2.39	3.66	0.65
rep6	210	10C	1.58	3.01	0.52
rep7	210	10C	1.26	4.00	0.32
rep8	210	10C	2.09	3.44	0.61
rep9	210	10C	1.22	3.15	0.39
rep10	210	10C	1.75	3.32	0.53
rep1	210	dark	NA	NA	1.00
rep2	210	dark	NA	NA	1.00
rep3	210	dark	NA	NA	1.00
rep4	210	dark	NA	NA	1.00
rep5	210	dark	NA	NA	1.00
rep6	210	dark	NA	NA	1.00
rep7	210	dark	NA	NA	1.00
rep8	210	dark	NA	NA	1.00
rep9	210	dark	NA	NA	1.00
rep10	210	dark	NA	NA	1.00
rep1	224	m-2.5C	0.53	4.36	0.12
rep2	224	m-2.5C	0.40	3.02	0.13
rep3	224	m-2.5C	0.55	3.27	0.17
rep4	224	m-2.5C	0.39	3.29	0.12
rep5	224	m-2.5C	0.36	2.75	0.13
rep6	224	m-2.5C	0.29	3.08	0.09
rep7	224	m-2.5C	0.42	2.78	0.15
rep8	224	m-2.5C	0.50	3.82	0.13
rep9	224	m-2.5C	0.57	3.57	0.16
rep10	224	m-2.5C	0.30	3.16	0.09
rep1	224	0C	0.47	3.12	0.15
rep2	224	0C	0.47	3.20	0.15
rep3	224	0C	NA	NA	1.00
rep4	224	0C	NA	NA	1.00
rep5	224	0C	NA	NA	1.00
rep6	224	0C	NA	NA	1.00
rep7	224	0C	NA	NA	1.00
rep8	224	0C	NA	NA	1.00
rep9	224	0C	NA	NA	1.00
rep10	224	0C	NA	NA	1.00
rep1	224	2.5C	NA	NA	1.00
rep2	224	2.5C	NA	NA	1.00
rep3	224	2.5C	NA	NA	1.00
rep4	224	2.5C	NA	NA	1.00
rep5	224	2.5C	NA	NA	1.00
rep6	224	2.5C	NA	NA	1.00
rep7	224	2.5C	NA	NA	1.00
rep8	224	2.5C	NA	NA	1.00
rep9	224	2.5C	NA	NA	1.00
rep10	224	2.5C	NA	NA	1.00
rep1	224	5C	NA	NA	1.00
rep2	224	5C	NA	NA	1.00
rep3	224	5C	NA	NA	1.00
rep4	224	5C	NA	NA	1.00
rep5	224	5C	NA	NA	1.00
rep6	224	5C	NA	NA	1.00
rep7	224	5C	NA	NA	1.00
rep8	224	5C	NA	NA	1.00
rep9	224	5C	NA	NA	1.00
rep10	224	5C	NA	NA	1.00
rep1	224	7.5C	3.43	3.48	0.99
rep2	224	7.5C	2.84	3.08	0.92
