rep	time	treatment	embryo	endosperm	ratio
rep6	14	7.5C	0.46	3.59	0.128133705
rep7	14	7.5C	0.57	3.32	0.171686747
rep8	14	7.5C	0.43	3.81	0.112860892
rep9	14	7.5C	0.56	3.8	0.147368421
rep10	14	7.5C	0.42	3.15	0.133333333
rep1	14	10C	0.52	3.19	0.163009404
rep2	14	10C	0.39	3.64	0.107142857
rep3	14	10C	0.52	3.74	0.139037433
rep4	14	10C	0.59	3.49	0.169054441
rep5	14	10C	0.36	3.67	0.098092643
rep6	14	10C	0.21	2.91	0.072164948
rep7	14	10C	0.53	3.11	0.170418006
rep8	14	10C	0.44	3.06	0.14379085
rep9	14	10C	0.25	3.01	0.083056478
rep10	14	10C	0.34	3.61	0.094182825
rep1	14	dark	0.48	3.62	0.132596685
rep2	14	dark	0.4	3.88	0.103092784
rep3	14	dark	0.5	3.16	0.158227848
rep4	14	dark	0.59	3.48	0.16954023
rep5	14	dark	0.64	3.07	0.208469055
rep6	14	dark	0.33	3.62	0.091160221
rep7	14	dark	0.51	3.34	0.152694611
rep8	14	dark	0.48	4.61	0.104121475
rep9	14	dark	0.55	3.67	0.14986376
rep10	14	dark	0.5	3.41	0.146627566
rep1	28	m2.5C	0.14	2.64	0.053030303
rep2	28	m2.5C	0.28	3.57	0.078431373
rep3	28	m2.5C	0.21	3.67	0.057220708
rep4	28	m2.5C	0.24	3.76	0.063829787
rep5	28	m2.5C	0.22	3.33	0.066066066
rep6	28	m2.5C	0.16	3.15	0.050793651
rep7	28	m2.5C	0.18	3.11	0.057877814
rep8	28	m2.5C	0.25	3.29	0.075987842
rep9	28	m2.5C	0.28	3.81	0.073490814
rep10	28	m2.5C	0.21	3.54	0.059322034
rep1	28	0C	0.38	4.24	0.089622642
rep2	28	0C	0.18	3.4	0.052941176
rep3	28	0C	0.18	2.69	0.066914498
rep4	28	0C	0.32	3.71	0.086253369
rep5	28	0C	0.36	3.94	0.091370558
rep6	28	0C	0.25	3.65	0.068493151
rep7	28	0C	0.19	3.5	0.054285714
rep8	28	0C	0.33	3.42	0.096491228
rep9	28	0C	0.31	4	0.0775
rep10	28	0C	0.2	3.07	0.06514658
rep1	28	2.5C	0.51	4.37	0.116704805
rep2	28	2.5C	0.56	3.95	0.141772152
rep3	28	2.5C	0.42	3.41	0.123167155
rep4	28	2.5C	0.3	3.46	0.086705202
rep5	28	2.5C	0.54	3.73	0.144772118
rep6	28	2.5C	0.33	3.26	0.101226994
rep7	28	2.5C	0.53	4.13	0.128329298
rep8	28	2.5C	0.38	3.39	0.112094395
rep9	28	2.5C	0.29	3.12	0.092948718
rep10	28	2.5C	0.55	3.7	0.148648649
rep1	28	5C	0.7	3.43	0.204081633
rep2	28	5C	0.39	3.07	0.127035831
rep3	28	5C	0.46	3.91	0.117647059
rep4	28	5C	0.37	3.87	0.095607235
rep5	28	5C	0.4	3.9	0.102564103
rep6	28	5C	0.58	3.41	0.170087977
rep7	28	5C	0.5	4.16	0.120192308
rep8	28	5C	0.53	3.17	0.167192429
rep9	28	5C	0.22	3.89	0.05655527
rep10	28	5C	0.25	3.19	0.078369906
rep1	28	7.5C	0.21	3.01	0.069767442
rep2	28	7.5C	0.59	3.86	0.152849741
rep3	28	7.5C	0.7	3.59	0.194986072
